	specie	accession	group
0	Eleutherodactylus_longipes	MZ224282.1	ingroup
1	Eleutherodactylus_leprus	MZ224283.1	ingroup
2	Eleutherodactylus_verrucipes	MZ224286.1	ingroup
3	Eleutherodactylus_guttilatus	MZ224288.1	ingroup
4	Eleutherodactylus_cystignathoides	MZ224295.1	ingroup
5	Eleutherodactylus_angustidigitorum	MZ224303.1	ingroup
6	Eleutherodactylus_manantlanensis	MZ224307.1	ingroup
7	Eleutherodactylus_nietoi	MZ224309.1	ingroup
8	Eleutherodactylus_pallidus	MZ224311.1	ingroup
9	Eleutherodactylus_erythrochomus	MZ224313.1	ingroup
10	Eleutherodactylus_syristes	MZ224316.1	ingroup
11	Eleutherodactylus_maurus	MZ224317.1	ingroup
12	Eleutherodactylus_nitidus	MZ224318.1	ingroup
13	Eleutherodactylus_rubrimaculatus	MZ224323.1	ingroup
14	Diasporus_amirae	MK471387.1	ingroup
15	Eleutherodactylus_planirostris	MF374460.1	ingroup
16	Eleutherodactylus_coqui	KY033485.1	ingroup
17	Adelophryne_baturitensis	KU494297.1	ingroup
18	Adelophryne_maranguapensis	KU494304.1	ingroup
19	Diasporus_diastema	KR862956.1	ingroup
20	Diasporus_quidditus	KR862961.1	ingroup
21	Eleutherodactylus_johnstonei	KF981374.1	ingroup
22	Eleutherodactylus_atkinsi	KC776647.1	ingroup
23	Eleutherodactylus_cubanus	KC776649.1	ingroup
24	Eleutherodactylus_etheridgei	KC776651.1	ingroup
25	Eleutherodactylus_iberia	KC776652.1	ingroup
26	Eleutherodactylus_jaumei	KC776656.1	ingroup
27	Eleutherodactylus_limbatus	KC776659.1	ingroup
28	Eleutherodactylus_orientalis	KC776665.1	ingroup
29	Adelophryne_pachydactyla	JX298334.1	ingroup
30	Adelophryne_patamona	JX298337.1	ingroup
31	Adelophryne_adiastola	JX298340.1	ingroup
32	Adelophryne_gutturosa	JX298341.1	ingroup
33	Phyzelaphryne_miriamae	JX298343.1	ingroup
34	Diasporus_hylaeformis	JN991347.1	ingroup
35	Eleutherodactylus_principalis	GQ357660.1	ingroup
36	Eleutherodactylus_glamyrus	GQ357662.1	ingroup
37	Eleutherodactylus_mariposa	GQ357663.1	ingroup
38	Eleutherodactylus_ronaldi	GQ357664.1	ingroup
39	Eleutherodactylus_eileenae	GQ357665.1	ingroup
40	Ischnocnema_henselii	MT990591.1	outgroup
41	Ischnocnema_guentheri	MT990595.1	outgroup
42	Ischnocnema_juipoca	MW039417.1	outgroup
43	Ischnocnema_crassa	MZ435952.1	outgroup
44	Ischnocnema_parva	KU494505.1	outgroup
45	Ischnocnema_vizottoi	KU494511.1	outgroup
46	Ischnocnema_lactea	JX298364.1	outgroup
