Diasporus amirae 
Diasporus anthrax 
Diasporus citrinobapheus 
Diasporus darienensis 
Diasporus diastema 
Diasporus gularis 
Diasporus hylaeformis 
Diasporus igneus 
Diasporus lynchi 
Diasporus majeensis 
Diasporus pequeno 
Diasporus quidditus 
Diasporus sapo 
Diasporus tigrillo 
Diasporus tinker 
Diasporus ventrimaculatus 
Diasporus vocator 
Eleutherodactylus geitonos 
Eleutherodactylus montserratae 
Eleutherodactylus (Eleutherodactylus) abbotti 
Eleutherodactylus (Eleutherodactylus) amplinympha 
Eleutherodactylus (Eleutherodactylus) antillensis 
Eleutherodactylus (Eleutherodactylus) audanti 
Eleutherodactylus (Eleutherodactylus) auriculatoides 
Eleutherodactylus (Eleutherodactylus) auriculatus 
Eleutherodactylus (Eleutherodactylus) barlagnei 
Eleutherodactylus (Eleutherodactylus) bartonsmithi 
Eleutherodactylus (Eleutherodactylus) brittoni 
Eleutherodactylus (Eleutherodactylus) cattus 
Eleutherodactylus (Eleutherodactylus) cochranae 
Eleutherodactylus (Eleutherodactylus) cooki 
Eleutherodactylus (Eleutherodactylus) coqui 
Eleutherodactylus (Eleutherodactylus) diplasius 
Eleutherodactylus (Eleutherodactylus) eileenae 
Eleutherodactylus (Eleutherodactylus) eneidae 
Eleutherodactylus (Eleutherodactylus) flavescens 
Eleutherodactylus (Eleutherodactylus) fowleri 
Eleutherodactylus (Eleutherodactylus) glamyrus 
Eleutherodactylus (Eleutherodactylus) gryllus 
Eleutherodactylus (Eleutherodactylus) guantanamera 
Eleutherodactylus (Eleutherodactylus) haitianus 
Eleutherodactylus (Eleutherodactylus) hedricki 
Eleutherodactylus (Eleutherodactylus) ionthus 
Eleutherodactylus (Eleutherodactylus) jasperi 
Eleutherodactylus (Eleutherodactylus) johnstonei 
Eleutherodactylus (Eleutherodactylus) juanariveroi 
Eleutherodactylus (Eleutherodactylus) karlschmidti 
Eleutherodactylus (Eleutherodactylus) lamprotes 
Eleutherodactylus (Eleutherodactylus) leberi 
Eleutherodactylus (Eleutherodactylus) locustus 
Eleutherodactylus (Eleutherodactylus) mariposa 
Eleutherodactylus (Eleutherodactylus) martinicensis 
Eleutherodactylus (Eleutherodactylus) melacara 
Eleutherodactylus (Eleutherodactylus) melatrigonum 
Eleutherodactylus (Eleutherodactylus) minutus 
Eleutherodactylus (Eleutherodactylus) montanus 
Eleutherodactylus (Eleutherodactylus) notidodes 
Eleutherodactylus (Eleutherodactylus) olibrus 
Eleutherodactylus (Eleutherodactylus) parabates 
Eleutherodactylus (Eleutherodactylus) patriciae 
